Pair,Timeframe,RSI Period,Initial Capital,Final Capital,Total Profit,Total Profit %,Total Trades,Winning Trades,Losing Trades,Win Rate %,Avg Profit,Avg Profit %,Candles
iBTCUSDM,1D,14,10000,10258.035717312045,258.035717312046,2.5803571731204467,10,7,3,70.0,25.803571731204602,5.413451428258896,731
iBTCUSDM,12h,10,10000,10127.801387551386,127.80138755138302,1.2780138755138615,54,20,34,37.03703703703704,2.3666923620626483,0.637054911423404,1462
iBTCUSDM,8h,10,10000,10028.364079130164,28.36407913015762,0.283640791301641,91,41,50,45.05494505494506,0.3116931772544793,0.5509604542153006,2193
iETHUSDM,1D,14,10000,10101.595252660283,101.59525266028243,1.0159525266028322,10,5,5,50.0,10.159525266028243,2.846169531546212,731
iETHUSDM,12h,10,10000,10334.037136419794,334.0371364197984,3.340371364197945,69,22,47,31.88405797101449,4.841117919127513,0.429193872417839,1462
iETHUSDM,8h,10,10000,10061.683025251827,61.68302525182014,0.6168302525182662,114,47,67,41.228070175438596,0.5410791688756152,0.5297735182779597,2193
ADAUSDM,1D,14,10000,11077.816807059182,1077.816807059179,10.77816807059182,28,11,17,39.285714285714285,38.493457394970676,3.848169181626987,731
ADAUSDM,12h,10,10000,10394.67509966654,394.67509966654177,3.946750996665396,93,27,66,29.03225806451613,4.243818275984319,0.5180979657600396,1462
ADAUSDM,8h,10,10000,9902.135556637093,-97.86444336289412,-0.9786444336290697,139,46,93,33.093525179856115,-0.7040607436179429,0.24185835654999777,2193
WMTXUSDM,1D,14,10000,9843.48921290517,-156.5107870948312,-1.5651078709483044,15,2,13,13.333333333333334,-10.434052472988746,-0.7057079669902894,731
WMTXUSDM,12h,10,10000,10219.756834279444,219.75683427943977,2.1975683427944386,57,22,35,38.59649122807017,3.855383057534031,0.93497950280066,1462
WMTXUSDM,8h,10,10000,10051.612311868455,51.61231186845896,0.5161231186845544,87,35,52,40.229885057471265,0.5932449640052747,0.326608410299188,2193
IAGUSDM,1D,14,10000,10093.73137303277,93.7313730327732,0.9373137303276963,11,3,8,27.27272727272727,8.521033912070292,0.6722895384352934,731
IAGUSDM,12h,10,10000,10280.576315263736,280.5763152637366,2.805763152637355,43,16,27,37.2093023255814,6.525030587528758,0.9604960634916054,1462
IAGUSDM,8h,10,10000,10414.92420574211,414.92420574210354,4.149242057421106,74,37,37,50.0,5.6070838613797775,0.9683198204089605,2193
SNEKUSDM,1D,14,10000,9985.997620347785,-14.002379652213449,-0.14002379652214586,18,4,14,22.22222222222222,-0.7779099806785249,0.6904628534609594,731
SNEKUSDM,12h,10,10000,9940.517090915313,-59.48290908468721,-0.5948290908468699,48,17,31,35.41666666666667,-1.23922727259765,0.29260868118117483,1462
SNEKUSDM,8h,10,10000,10324.799443318007,324.79944331800027,3.2479944331800654,75,37,38,49.333333333333336,4.330659244240004,0.6742854040593318,2193
